date,TD,BMO,BNS,RBC,CM
2005-08-10,22.735000610351562,49.41999816894531,34.540000915527344,15.270000457763672,29.670000076293945
2005-08-11,22.9950008392334,50.209999084472656,34.619998931884766,15.5,29.875
2005-08-12,23.15999984741211,50.349998474121094,34.869998931884766,16.049999237060547,29.81999969482422
2005-08-15,23.225000381469727,51.189998626708984,34.86000061035156,16.049999237060547,29.649999618530273
2005-08-16,23.19499969482422,50.97999954223633,34.91999816894531,16.100000381469727,29.239999771118164
2005-08-17,23.125,50.47999954223633,34.61000061035156,15.949999809265137,28.93000030517578
2005-08-18,22.7549991607666,49.41999816894531,33.900001525878906,15.75,28.725000381469727
2005-08-19,23.100000381469727,49.970001220703125,34.2400016784668,15.699999809265137,29.020000457763672
2005-08-22,23.165000915527344,49.91999816894531,34.2400016784668,15.5,29.190000534057617
2005-08-23,23.049999237060547,48.880001068115234,33.79999923706055,16.239999771118164,28.84000015258789
2005-08-24,23.149999618530273,49.529998779296875,34.130001068115234,16.010000228881836,28.8799991607666
2005-08-25,23.274999618530273,49.36000061035156,34.529998779296875,15.800000190734863,29.385000228881836
2005-08-26,23.100000381469727,48.16999816894531,34.04999923706055,16,29.295000076293945
2005-08-29,23.299999237060547,48.09000015258789,34.400001525878906,15.75,29.295000076293945
2005-08-30,23.489999771118164,48.88999938964844,34.41999816894531,15.899999618530273,29.364999771118164
2005-08-31,23.594999313354492,48.779998779296875,34.529998779296875,16.100000381469727,29.530000686645508
2005-09-01,23.875,49.029998779296875,34.7599983215332,16.25,29.69499969482422
2005-09-02,23.795000076293945,48.66999816894531,34.369998931884766,16.200000762939453,29.760000228881836
2005-09-06,23.850000381469727,48.68000030517578,34.560001373291016,16.25,29.905000686645508
2005-09-07,23.899999618530273,48.560001373291016,34.5099983215332,16.059999465942383,29.889999389648438
2005-09-08,23.799999237060547,48.349998474121094,34.689998626708984,16.110000610351562,30.100000381469727
2005-09-09,23.915000915527344,48.77000045776367,35.27000045776367,16.25,30.454999923706055
2005-09-12,23.80500030517578,48.52000045776367,35.279998779296875,16.030000686645508,30.270000457763672
2005-09-13,23.8799991607666,48.560001373291016,35.470001220703125,16.530000686645508,31.010000228881836
2005-09-14,23.844999313354492,48.779998779296875,35.599998474121094,16.5,31.09000015258789
2005-09-15,23.739999771118164,48.90999984741211,35.68000030517578,16.75,31.225000381469727
2005-09-16,24,48.849998474121094,35.7599983215332,16.809999465942383,31.139999389648438
2005-09-19,24.204999923706055,49.41999816894531,36.13999938964844,17.18000030517578,31.489999771118164
2005-09-20,24.165000915527344,49.369998931884766,36.09000015258789,17.350000381469727,31.479999542236328
2005-09-21,24.114999771118164,49.06999969482422,36.18000030517578,17.209999084472656,31.43000030517578
2005-09-22,24.145000457763672,49.220001220703125,36.20000076293945,16.90999984741211,31.3799991607666
2005-09-23,24.225000381469727,50.029998779296875,36.279998779296875,17,31.604999542236328
2005-09-26,24.399999618530273,50.13999938964844,36.540000915527344,16.799999237060547,31.184999465942383
2005-09-27,24.94499969482422,50.33000183105469,37.33000183105469,17,31.28499984741211
2005-09-28,24.5049991607666,49.75,37.08000183105469,16.969999313354492,31.049999237060547
2005-09-29,24.56999969482422,49.290000915527344,37.15999984741211,17.110000610351562,30.954999923706055
2005-09-30,24.65999984741211,49.79999923706055,37.400001525878906,15.949999809265137,31.239999771118164
2005-10-03,24.790000915527344,49.56999969482422,37.77000045776367,16.540000915527344,31.084999084472656
2005-10-04,24.71500015258789,49.119998931884766,36.970001220703125,16.8799991607666,30.709999084472656
2005-10-05,24.334999084472656,48.41999816894531,36.34000015258789,16.459999084472656,30.354999542236328
2005-10-06,24.15999984741211,48.41999816894531,36,16.440000534057617,30.334999084472656
2005-10-07,24.2549991607666,48.619998931884766,36.11000061035156,16.6299991607666,30.56999969482422
2005-10-10,24.274999618530273,48.65999984741211,36.04999923706055,17.18000030517578,30.510000228881836
2005-10-11,24.049999237060547,48.119998931884766,35.709999084472656,16.729999542236328,30.424999237060547
2005-10-12,24.065000534057617,48.95000076293945,35.869998931884766,16.489999771118164,30.434999465942383
2005-10-13,24.084999084472656,48.54999923706055,35.709999084472656,16.25,30.104999542236328
2005-10-14,24.020000457763672,48.41999816894531,35.470001220703125,16.469999313354492,30.139999389648438
2005-10-17,23.9950008392334,48.33000183105469,35.650001525878906,16.440000534057617,30.135000228881836
2005-10-18,23.920000076293945,47.939998626708984,35.54999923706055,16.209999084472656,29.815000534057617
2005-10-19,24.030000686645508,48.349998474121094,36.130001068115234,16.209999084472656,30.094999313354492
2005-10-20,23.7450008392334,48,35.84000015258789,15.649999618530273,29.934999465942383
2005-10-21,23.485000610351562,47.869998931884766,35.54999923706055,16,29.75
2005-10-24,23.40999984741211,47.83000183105469,35.779998779296875,15.989999771118164,30.030000686645508
2005-10-25,23.3700008392334,48.119998931884766,35.70000076293945,15.949999809265137,30.165000915527344
2005-10-26,23.510000228881836,48.22999954223633,35.93000030517578,15.5,30.385000228881836
2005-10-27,23.530000686645508,48.52000045776367,35.86000061035156,15.600000381469727,30.475000381469727
2005-10-28,23.520000457763672,48.650001525878906,35.959999084472656,15.65999984741211,30.604999542236328
2005-10-31,23.655000686645508,49.02000045776367,36.380001068115234,15.619999885559082,30.704999923706055
2005-11-01,23.684999465942383,49.29999923706055,36.84000015258789,15.25,31.065000534057617
2005-11-02,23.71500015258789,48.959999084472656,36.7599983215332,15.279999732971191,30.959999084472656
2005-11-03,23.584999084472656,48.4900016784668,36.61000061035156,15.550000190734863,30.850000381469727
